nom,nom_arabe,nom_berbere,type_etablissement,ville,adresse,adresse_arabe,telephone,site_web,note,nombre_avis,statut_ouverture,latitude,longitude,url_google_maps,terme_recherche,photos_count,langues_detectees,date_extraction,horaires_ouverture,avis_recents,services
HOPITAL SIDI LARBI AIN AOUDA,,,Hôpital,Aïn El Aouda,"Q6R2+RGP, Témara",,,,"2,7",3,Fermé ⋅ Ouvre à 08:00 lun.,33.792079,-6.7986704,https://www.google.com/maps/place/HOPITAL+SIDI+LARBI+AIN+AOUDA/data=!4m7!3m6!1s0xda7177c15f3097d:0x5086d07fea96608f!8m2!3d33.792079!4d-6.7986704!16s%2Fg%2F11c5_nrf5l!19sChIJfQnzFXwXpw0Rj2CW6n_QhlA?authuser=0&hl=fr&rclk=1,مستشفى نفسي,0,francais,2025-07-06T06:40:00.386550,{},[],[]
Cabinet psychiatre-psychothérapeute Dr Houda Khalloufi,,,Médecin,Aïn El Aouda,"appartement numéro 9 , 3ème étage, 28 Av. de France, Rabat 10000",,+2125377-70659,https://www.google.com/url?q=https://www.drhoudakhalloufi.ma/&opi=79508299&sa=U&ved=0ahUKEwiXrPzSwqeOAxVNa0EAHYWqIqwQ61gIFCgQ&usg=AOvVaw0BlotVC26E3UljA6Rf2Vcd,"4,1",42,Fermé ⋅ Ouvre à 09:00 lun.,33.9979527,-6.8474652,https://www.google.com/maps/place/Cabinet+psychiatre-psychoth%C3%A9rapeute+Dr+Houda+Khalloufi/data=!4m7!3m6!1s0xda76dc012c52e9b:0xbea1cf26938580b3!8m2!3d33.9979527!4d-6.8474652!16s%2Fg%2F11pf8fnff4!19sChIJmy7FEsBtpw0Rs4CFkybPob4?authuser=0&hl=fr&rclk=1,عيادة نفسية,0,francais,2025-07-06T06:40:45.031667,{},[],[]
Centre de santé Ouled Zaers المركز الصحي اولاد زعير,المركز الصحي اولاد زعير,,Centre médical,Aïn El Aouda,"R627+F9R, Ain El Aouda",,,,"4,6",4,Fermé ⋅ Ouvre à 09:00 lun.,33.80155,-6.7861229,https://www.google.com/maps/place/Centre+de+sant%C3%A9+Ouled+Zaers+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B5%D8%AD%D9%8A+%D8%A7%D9%88%D9%84%D8%A7%D8%AF+%D8%B2%D8%B9%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0xda71700455603d9:0x8da4138c3cb8c18a!8m2!3d33.80155!4d-6.7861229!16s%2Fg%2F11lz57bk2p!19sChIJ2QNWRQAXpw0RisG4PIwTpI0?authuser=0&hl=fr&rclk=1,مركز الصحة النفسية,10,arabe|francais,2025-07-06T06:41:35.750526,{},[],[]
الدكتور الشجعي محمد المهدي dr chajai mohamed mehdi,الدكتور الشجعي محمد المهدي,,Médecin généraliste,Aïn El Aouda,"hay nasr sect9, 164, Ain El Aouda",,+212661-808259,,"5,0",87,Fermé ⋅ Ouvre à 09:00,33.7994602,-6.7896326,https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A7%D9%84%D8%B4%D8%AC%D8%B9%D9%8A+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D9%85%D9%87%D8%AF%D9%8A+dr+chajai+mohamed+mehdi%E2%80%AD/data=!4m7!3m6!1s0xda76b871f50c5c1:0x517ce9adb4fd191!8m2!3d33.7994602!4d-6.7896326!16s%2Fg%2F11b6h_6pxw!19sChIJwcVQH4drpw0RkdFP25rOFwU?authuser=0&hl=fr&rclk=1,طبيب نفساني,0,arabe|francais,2025-07-06T06:42:23.172158,{},[],[]
Dr Amal Belgnaoui,,,Psychothérapeute,Aïn El Aouda,"361 Bd Prince Moulay Abdellah, Témara",,+212676-962723,,"5,0",32,Fermé ⋅ Ouvre à 10:00 lun.,33.9272935,-6.9591281,https://www.google.com/maps/place/Dr+Amal+Belgnaoui/data=!4m7!3m6!1s0xda70d06e2610033:0xef4bcbc6ee0d6118!8m2!3d33.9272935!4d-6.9591281!16s%2Fg%2F11l5q2sfqm!19sChIJMwBh4gYNpw0RGGEN7sbLS-8?authuser=0&hl=fr&rclk=1,معالج نفسي,0,francais,2025-07-06T06:43:16.010377,{},[],[]
مركز تأهيل الشباب,مركز تأهيل الشباب,,Ajouter le numéro de téléphone du lieu,Aïn El Aouda,"R656+RCH, Ain El Aouda",,,,"4,7",3,,33.8095512,-6.7888936,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AA%D8%A3%D9%87%D9%8A%D9%84+%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D8%A8%E2%80%AD/data=!4m7!3m6!1s0xda7179f72099505:0x91282505d359a39a!8m2!3d33.8095512!4d-6.7888936!16s%2Fg%2F1tfkxntk!19sChIJBZUJcp8Xpw0RmqNZ0wUlKJE?authuser=0&hl=fr&rclk=1,مركز التأهيل,0,arabe|francais,2025-07-06T06:44:03.737277,{},[],[]
Ain El Aouda,,,,Aïn El Aouda,,,,,,,,33.8082142,-6.7910525,https://www.google.com/maps/place/Ain+El+Aouda/data=!4m7!3m6!1s0xda717655556798d:0x97f2fcdaec2a71a5!8m2!3d33.8082142!4d-6.7910525!16s%2Fg%2F11w34k5wx2!19sChIJjXlWVWUXpw0RpXEq7Nr88pc?authuser=0&hl=fr&rclk=1,ⴰⵎⴰⵙⵙⴰⵏ ⵏ ⵓⵙⴰⵏ,0,francais,2025-07-06T06:44:56.926751,{},[],[]
Cabinet Docteur Fatima Zahra El Khaoua,,,Médecin généraliste,Aïn El Aouda,"Hay Ennasser, Nº74, 1er étage, secteur 09, Ain El Aouda 12100",,+212762-529737,,"5,0",21,Fermé ⋅ Ouvre à 08:30 lun.,33.8002808,-6.7942955,https://www.google.com/maps/place/Cabinet+Docteur+Fatima+Zahra+El+Khaoua/data=!4m7!3m6!1s0xda713d090ba17c3:0x4d9681e6ab50c12!8m2!3d33.8002808!4d-6.7942955!16s%2Fg%2F11kqds8s2s!19sChIJwxe6kNATpw0REgy1ah5o2QQ?authuser=0&hl=fr&rclk=1,دكتور نفسي,0,francais,2025-07-06T06:46:45.133061,{},[],[]
Psychiatric Clinic Rabat عيادة الطب النفسي الرباط,عيادة الطب النفسي الرباط,,Psychiatre,Aïn El Aouda,"2nd floor Appt, 3, Avenue Moulay Ismail, n° 11 Place Bab Mellah, Rabat 10000",,+212661-775833,,"3,8",3,Fermé ⋅ Ouvre à 08:30 lun.,34.0244578,-6.8302094,https://www.google.com/maps/place/Psychiatric+Clinic+Rabat+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A+%D8%A7%D9%84%D8%B1%D8%A8%D8%A7%D8%B7%E2%80%AD/data=!4m7!3m6!1s0xda76b99c674e63d:0x7b205e39adf8e5cc!8m2!3d34.0244578!4d-6.8302094!16s%2Fg%2F11t9w0w8jx!19sChIJPeZ0xplrpw0RzOX4rTleIHs?authuser=0&hl=fr&rclk=1,مصحة نفسية,0,arabe|francais,2025-07-06T06:47:35.662758,{},[],[]
centre oxygène,,,Service de soutien scolaire,Aïn El Aouda,"lot gause 1 n° 148, Ain El Aouda 12100",,+212530-209587,https://www.google.com/url?q=https://cossli.com/&opi=79508299&sa=U&ved=0ahUKEwihvuWsxKeOAxWLRfEDHRYtO0sQ61gIEigO&usg=AOvVaw1P2myAyGs_2wafrQ7pO6aQ,"5,0",1,Fermé ⋅ Ouvre à 09:00,33.8025549,-6.7946496,https://www.google.com/maps/place/centre+oxyg%C3%A8ne/data=!4m7!3m6!1s0xda7170015ad1aeb:0xeba82580d47ebd76!8m2!3d33.8025549!4d-6.7946496!16s%2Fg%2F11y2b66_8p!19sChIJ6xqtFQAXpw0Rdr1-1IAlqOs?authuser=0&hl=fr&rclk=1,مركز طبي نفسي,0,francais,2025-07-06T06:48:21.763654,{},[],[]
Cabinet de psychiatrie Dr Rachida El Amraoui,,,Psychiatre,Aïn Erreggada,"Immeuble 2422, Appt N° 8, Lotissement Al Wifak, Rue Gaza, Temara 12000",,+212530-156359,,"4,5",41,Fermé ⋅ Ouvre à 09:00 lun.,33.9212764,-6.9288933,https://www.google.com/maps/place/Cabinet+de+psychiatrie+Dr+Rachida+El+Amraoui/data=!4m7!3m6!1s0xda76dc038d6fd4f:0x7b1836ff44dc9460!8m2!3d33.9212764!4d-6.9288933!16s%2Fg%2F11sc3lc3cs!19sChIJT_3WOMBtpw0RYJTcRP82GHs?authuser=0&hl=fr&rclk=1,psychiatre,0,francais,2025-07-06T06:49:34.000580,{},[],[]
MindTest - Vers le bon psy gratuit,,,Psychologue,Aïn Erreggada,"16, 44 Av. de France, Rabat 10080",,+212664-146568,https://www.google.com/url?q=https://www.mindtest.ma/psychologue/&opi=79508299&sa=U&ved=0ahUKEwjUj-rmxKeOAxWLQkEAHTcmMG4Q61gIFCgQ&usg=AOvVaw2yXl3nTRxRCafwxgV26UcT,"5,0",9,Ouvert 24h/24,33.997236,-6.8497414,https://www.google.com/maps/place/MindTest+-+Vers+le+bon+psy+gratuit/data=!4m7!3m6!1s0xda76de899192c8d:0xe9bedb76a642cf2f!8m2!3d33.997236!4d-6.8497414!16s%2Fg%2F11x01nm28d!19sChIJjSwZmehtpw0RL89Cpnbbvuk?authuser=0&hl=fr&rclk=1,psychologue,0,francais,2025-07-06T06:50:24.973387,{},[],[]
Centre d'Addictologie,,,Cellule psychologique,Aïn Erreggada,"M35Q+R2M، شارع العرفان, Oujda",، شارع العرفان,+212698-951489,,"4,5",4,Fermé ⋅ Ouvre à 09:00 lun.,34.6597877,-1.9125964,https://www.google.com/maps/place/Centre+d%27Addictologie/data=!4m7!3m6!1s0xd787b577effdf2b:0x25986fbf5762b13a!8m2!3d34.6597877!4d-1.9125964!16s%2Fg%2F11clyslnss!19sChIJK9__fld7eA0ROrFiV79vmCU?authuser=0&hl=fr&rclk=1,centre addictologie,0,francais,2025-07-06T06:51:15.998021,{},[],[]
HOPITAL,,,Hôpital,Aïn Erreggada,"Hôpital de Ain Reggada, Aïn Erreggada",,,,"2,0",1,Fermé ⋅ Ouvre à 08:30 lun.,34.9323541,-2.2273448,https://www.google.com/maps/place/HOPITAL/data=!4m7!3m6!1s0xd783bff3d583d11:0x8219f5689f1af727!8m2!3d34.9323541!4d-2.2273448!16s%2Fg%2F11ddzq1rlf!19sChIJET1YPf87eA0RJ_can2j1GYI?authuser=0&hl=fr&rclk=1,hôpital psychiatrique,0,francais,2025-07-06T06:52:40.630346,{},[],[]
Hôpital Arrazi de Psychiatrie,,,Hôpital psychiatrique,Aïn Erreggada,"7C78+396, Berrechid",,,,"2,6",7,Fermé ⋅ Ouvre à 09:00 lun.,33.2626514,-7.584104,https://www.google.com/maps/place/H%C3%B4pital+Arrazi+de+Psychiatrie/data=!4m7!3m6!1s0xda63ce5fdd2b181:0xf686f81efb8af071!8m2!3d33.2626514!4d-7.584104!16s%2Fg%2F11bzxchhnn!19sChIJgbHS_eU8pg0RcfCK-x74hvY?authuser=0&hl=fr&rclk=1,clinique psychiatrique,2,francais,2025-07-06T06:53:25.267919,{},[],[]
بيع وإصلاح جميع أنواع ردياتوار و رنساج,بيع وإصلاح جميع أنواع ردياتوار و رنساج,,Service de santé mentale,Aïn Erreggada,"JHR2+GJC, Âïn-Harrouda",,,,"4,0",4,,33.6413519,-7.4483826,https://www.google.com/maps/place/%D8%A8%D9%8A%D8%B9+%D9%88%D8%A5%D8%B5%D9%84%D8%A7%D8%AD+%D8%AC%D9%85%D9%8A%D8%B9+%D8%A3%D9%86%D9%88%D8%A7%D8%B9+%D8%B1%D8%AF%D9%8A%D8%A7%D8%AA%D9%88%D8%A7%D8%B1+%D9%88+%D8%B1%D9%86%D8%B3%D8%A7%D8%AC%E2%80%AD/data=!4m7!3m6!1s0xda7cb005e88578b:0x8265c520448c02a0!8m2!3d33.6413519!4d-7.4483826!16s%2Fg%2F11wttrylfj!19sChIJi1eIXgDLpw0RoAKMRCDFZYI?authuser=0&hl=fr&rclk=1,thérapeute,0,arabe|francais,2025-07-06T06:57:05.951083,{},[],[]
CABINET DE PSYCHOTHERAPIE Nadia Berrada,,,Psychothérapeute,Aïn Erreggada,"1er étage, appt 1, ex Dijon, 42, Rue El Hajeb, Rue Aïn Sidi Ali, Casablanca 20050",,+212669-335230,,"5,0",6,Fermé ⋅ Ouvre à 09:00 lun.,33.5964208,-7.6398056,https://www.google.com/maps/place/CABINET+DE+PSYCHOTHERAPIE+Nadia+Berrada/data=!4m7!3m6!1s0xda7d3bf26d82479:0xfe0772854fd2ed61!8m2!3d33.5964208!4d-7.6398056!16s%2Fg%2F11k355xdwt!19sChIJeSTYJr_Tpw0RYe3ST4VyB_4?authuser=0&hl=fr&rclk=1,معالج نفسي,0,francais,2025-07-06T07:08:13.566515,{},[],[]
مركز تأهيل الفتاة بوجدة,مركز تأهيل الفتاة بوجدة,,Association bénévole,Aïn Erreggada,"60000, Oujda 60000",,,,"4,0",3,,34.6808225,-1.8901265,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AA%D8%A3%D9%87%D9%8A%D9%84+%D8%A7%D9%84%D9%81%D8%AA%D8%A7%D8%A9+%D8%A8%D9%88%D8%AC%D8%AF%D8%A9%E2%80%AD/data=!4m7!3m6!1s0xd786337e0c78b09:0x717f6d789d0f2920!8m2!3d34.6808225!4d-1.8901265!16s%2Fg%2F11cly8_t4w!19sChIJCYvH4DdjeA0RICkPnXhtf3E?authuser=0&hl=fr&rclk=1,مركز التأهيل,7,arabe|francais,2025-07-06T07:09:04.753759,{},[],[]
Aïn Erreggada,,,,Aïn Erreggada,,,,,"4,1",4,,34.9344195,-2.2298164,https://www.google.com/maps/place/A%C3%AFn+Erreggada/data=!4m7!3m6!1s0xd783bf8dfaf490b:0xf01837aee8246a25!8m2!3d34.9344195!4d-2.2298164!16s%2Fm%2F0b6dzg2!19sChIJC0mv3_g7eA0RJWok6K43GPA?authuser=0&hl=fr&rclk=1,ⴰⵎⴰⵙⵙⴰⵏ ⵏ ⵓⵙⴰⵏ,0,francais,2025-07-06T07:09:45.945208,{},[],[]
Ain Erreggada,,,,Aïn Erreggada,,,,,,,,34.9335262,-2.2277275,https://www.google.com/maps/place/Ain+Erreggada/data=!4m7!3m6!1s0xd783bf9354d5aab:0x6c9d4b49e5a4ad25!8m2!3d34.9335262!4d-2.2277275!16s%2Fg%2F11w9p0k6qy!19sChIJq1pNNfk7eA0RJa2k5UlLnWw?authuser=0&hl=fr&rclk=1,ⴰⵎⴰⵙⵙⴰⵏ ⵏ ⵜⴷⵓⴽⵜⵓⵔ,0,francais,2025-07-06T07:10:38.343844,{},[],[]
"Dr Mouchtaq Nadia, Psy Médical Center",,,Psychiatre,Aïn Harrouda,"15 Rue Abdelmoumen, Mohammédia 28810",,+212687-052522,https://www.google.com/url?q=https://psymedicalcenter.ma/&opi=79508299&sa=U&ved=0ahUKEwjm567AyqeOAxU1UEEAHXRfFAIQ61gIEigO&usg=AOvVaw0jx-9HZmlHH_Vtcyx_aO_6,"4,4",39,Fermé ⋅ Ouvre à 10:00 lun.,33.7068633,-7.3994255,"https://www.google.com/maps/place/Dr+Mouchtaq+Nadia,+Psy+M%C3%A9dical+Center/data=!4m7!3m6!1s0xda7b72695cf769f:0xf05294eb054f60e9!8m2!3d33.7068633!4d-7.3994255!16s%2Fg%2F11ks5gf0q9!19sChIJn3bPlSa3pw0R6WBPBeuUUvA?authuser=0&hl=fr&rclk=1",psychiatre,0,francais,2025-07-06T07:15:54.532780,{},[],[]
Dr. Chebli Hala | Psychiatre - Psychothérapeute,,,Psychiatre,Aïn Harrouda,"appartement 18, En face de l'orphelinat de, Riad bernoussi, immeuble c, Casablanca 20610",,+212520-733100,,"5,0",42,Fermé ⋅ Ouvre à 09:00 lun.,33.6192083,-7.4926133,https://www.google.com/maps/place/Dr.+Chebli+Hala+%7C+Psychiatre+-+Psychoth%C3%A9rapeute/data=!4m7!3m6!1s0xda7cbecef2d6e8b:0x476a4b9f2dd3b44d!8m2!3d33.6192083!4d-7.4926133!16s%2Fg%2F11ldgvzvg3!19sChIJi24t7-zLpw0RTbTTLZ9Lakc?authuser=0&hl=fr&rclk=1,psychologue,0,francais,2025-07-06T07:16:44.386308,{},[],[]
Dr Chahchouh Faiza Psychiatre addictologue,,,Psychiatre,Aïn Harrouda,"Angle Boulevard biranzarane et rue ibnou abi sahl,46, Casablanca",,+212665-413060,,"4,8",26,Fermé ⋅ Ouvre à 09:00 lun.,33.581661,-7.638646,https://www.google.com/maps/place/Dr+Chahchouh+Faiza+Psychiatre+addictologue/data=!4m7!3m6!1s0xda7d38eb203f931:0x9f7d29401abb6f57!8m2!3d33.581661!4d-7.638646!16s%2Fg%2F11pz8v1ljp!19sChIJMfkDso7Tpw0RV2-7GkApfZ8?authuser=0&hl=fr&rclk=1,centre addictologie,0,francais,2025-07-06T07:17:34.383580,{},[],[]
"Élite Laser Anti-Addictions, Arrêter de fumer Casablanca",,,Centre de désintoxication,Aïn Harrouda,"Résidence Le Succès, 197 Bd de la Résistance, Casablanca 20020",,+33 6 95 14 06 96,https://www.google.com/url?q=https://www.elite-laser.ma/&opi=79508299&sa=U&ved=0ahUKEwix9tWHy6eOAxWmV0EAHU6OEAEQ61gIFCgQ&usg=AOvVaw0b1UjNGQ99GfdeNhWYnGsV,"5,0",1,Fermé ⋅ Ouvre à 09:00 lun.,33.58325,-7.6137733,"https://www.google.com/maps/place/%C3%89lite+Laser+Anti-Addictions,+Arr%C3%AAter+de+fumer+Casablanca/data=!4m7!3m6!1s0xda7cd15d56e9165:0x4d0f775454ba8b3c!8m2!3d33.58325!4d-7.6137733!16s%2Fg%2F11wx6zrttg!19sChIJZZFu1RXNpw0RPIu6VFR3D00?authuser=0&hl=fr&rclk=1",centre désintoxication,0,francais,2025-07-06T07:18:25.373365,{},[],[]
Psychiatre Dr Salma Ouazzani Touhami,,,Psychiatre,Aïn Harrouda,"1er étage, N*13, premium office, 40, boulevard Anoual, residence Anoual, Casablanca 20502",,+2125228-64009,https://www.google.com/url?q=https://psychiatre-ouazzanisalma.com/&opi=79508299&sa=U&ved=0ahUKEwjrlbSfy6eOAxXcS_EDHeWQBQ4Q61gIFigS&usg=AOvVaw2b_dqxPFzHIypqP8WEwKFt,"4,7",25,Fermé ⋅ Ouvre à 09:00 lun.,33.569272,-7.613723,https://www.google.com/maps/place/Psychiatre+Dr+Salma+Ouazzani+Touhami/data=!4m7!3m6!1s0xda7d3afc586e485:0x254c3ac4b25dac28!8m2!3d33.569272!4d-7.613723!16s%2Fg%2F11y7jts52_!19sChIJheSGxa_Tpw0RKKxdssQ6TCU?authuser=0&hl=fr&rclk=1,hôpital psychiatrique,0,francais,2025-07-06T07:19:15.326722,{},[],[]
Dr JAD AAMRI,,,Hôpital psychiatrique,Aïn Harrouda,"H9PC+389, N1, Casablanca 20250",,,,"5,0",1,Fermé ⋅ Ouvre à 10:00 lun.,33.5851604,-7.6291257,https://www.google.com/maps/place/Dr+JAD+AAMRI/data=!4m7!3m6!1s0xda7d389c879db87:0x7427b766462eaf8b!8m2!3d33.5851604!4d-7.6291257!16s%2Fg%2F11r2t3_z34!19sChIJh9t5yInTpw0Ri68uRma3J3Q?authuser=0&hl=fr&rclk=1,clinique psychiatrique,0,francais,2025-07-06T07:20:07.825693,{},[],[]
Yassine lmane3,,,Service de santé mentale,Aïn Harrouda,"JGJV+X58, Âïn-Harrouda",,,,"4,0",4,,33.6323862,-7.4566963,https://www.google.com/maps/place/Yassine+lmane3/data=!4m7!3m6!1s0xda7cb0014059495:0x964401ff55e66472!8m2!3d33.6323862!4d-7.4566963!16s%2Fg%2F11wtl10h37!19sChIJlZQFFADLpw0RcmTmVf8BRJY?authuser=0&hl=fr&rclk=1,centre santé mentale,0,francais,2025-07-06T07:21:00.996654,{},[],[]
Centre De Sante Ain Harrouda,,,Hôpital,Aïn Harrouda,"Centre Ain Harrouda, Km 17 Rte 107, Âïn-Harrouda 20630",,+2125223-32161,,"1,0",2,,33.6401871,-7.4482801,https://www.google.com/maps/place/Centre+De+Sante+Ain+Harrouda/data=!4m7!3m6!1s0xda7ca72707bbd1f:0x27c8508c0a775977!8m2!3d33.6401871!4d-7.4482801!16s%2Fg%2F11b6hmm4km!19sChIJH717cHLKpw0Rd1l3CoxQyCc?authuser=0&hl=fr&rclk=1,centre réhabilitation,0,francais,2025-07-06T07:21:49.017115,{},[],[]
"Atif Benabdallah, Psychologue à Casablanca - Prenez RDV Aujourd'hui",,,Psychologue,Aïn Harrouda,"Quartier Hermitage, 125 Bis Avenue des Pléiades, Casablanca 20200",,+212619-161666,https://www.google.com/url?q=https://www.happyhealthy.ma/psychologue-atif-benabdallah.html&opi=79508299&sa=U&ved=0ahUKEwihm_aBzKeOAxXcRvEDHW5hCOgQ61gIFCgQ&usg=AOvVaw01Y8yxhtddgikypFTtB6j9,"5,0",67,Fermé ⋅ Ouvre à 09:00 lun.,33.566438,-7.616789,"https://www.google.com/maps/place/Atif+Benabdallah,+Psychologue+%C3%A0+Casablanca+-+Prenez+RDV+Aujourd%27hui/data=!4m7!3m6!1s0x67410a01a54ef4f5:0xe65ee323e7d3ea32!8m2!3d33.566438!4d-7.616789!16s%2Fg%2F11vhgq7k_3!19sChIJ9fROpQEKQWcRMurT5yPjXuY?authuser=0&hl=fr&rclk=1",thérapeute,0,francais,2025-07-06T07:22:40.197339,{},[],[]
Psychologue El Manfaloti Abdelhafid,,,Psychologue,Aïn Harrouda,"Résidence Elyte centre, 30 Bd Al Qods, Casablanca 20460",,+212709-990095,https://www.google.com/url?q=https://elmanfalotipsychologue.com/&opi=79508299&sa=U&ved=0ahUKEwiaw5aazKeOAxXRVEEAHSkpJ3QQ61gIFCgQ&usg=AOvVaw0X0_6ZNLP5RrXy4zENWWcu,"5,0",21,Fermé ⋅ Ouvre à 10:00 lun.,33.536375,-7.607562,https://www.google.com/maps/place/Psychologue+El+Manfaloti+Abdelhafid/data=!4m7!3m6!1s0xda633006708e14b:0x4413c15682eef575!8m2!3d33.536375!4d-7.607562!16s%2Fg%2F11y773pjq9!19sChIJS-EIZwAzpg0RdfXuglbBE0Q?authuser=0&hl=fr&rclk=1,addictologue,0,francais,2025-07-06T07:23:32.204937,{},[],[]
Dr. Zbiri Fatima,,,Médecin,Aïn Harrouda,"N° 2 IMMEUBLE 8 RESIDENCE CHABAB AIN SEBAA CASABLANA, Casablanca 20250",,+2125227-46936,,"5,0",9,Fermé ⋅ Ouvre à 09:00 lun.,33.6061937,-7.5212447,https://www.google.com/maps/place/Dr.+Zbiri+Fatima/data=!4m7!3m6!1s0xda7cbe01988b4d7:0xbff48390fa2d9a07!8m2!3d33.6061937!4d-7.5212447!16s%2Fg%2F11rrp91jdy!19sChIJ17SIGeDLpw0RB5ot-pCD9L8?authuser=0&hl=fr&rclk=1,طبيب نفسي,0,francais,2025-07-06T07:24:26.921671,{},[],[]
Appartement de Selma,,,Centre de traitement de l'alcoolisme,Aïn Harrouda,"H9C6+W23, Casablanca",,+212662-232327,,"3,5",3,Fermé temporairement,33.5722642,-7.6399658,https://www.google.com/maps/place/Appartement+de+Selma/data=!4m7!3m6!1s0xda7d31d404d21db:0x849722a2344eb1ba!8m2!3d33.5722642!4d-7.6399658!16s%2Fg%2F11h15xpwq0!19sChIJ2yFNQB3Tpw0RurFONKIil4Q?authuser=0&hl=fr&rclk=1,مركز علاج الإدمان,0,francais,2025-07-06T07:25:19.453002,{},[],[]
Hôpital Privé de Casablanca Aîn Sebaâ,,,Hôpital privé,Aïn Harrouda,"JF6F+G6M, 279 Bd Chefchaouni, Casablanca 20250",,+2125226-80000,https://www.google.com/url?q=https://hpc.ma/&opi=79508299&sa=U&ved=0ahUKEwjaiunjzKeOAxVRA9sEHXRnGX0Q61gIEygP&usg=AOvVaw2-ajVgZXlmXMvQTRGmCZQd,"4,1",915,Ouvert 24h/24,33.6126268,-7.5302628,https://www.google.com/maps/place/H%C3%B4pital+Priv%C3%A9+de+Casablanca+A%C3%AEn+Seba%C3%A2/data=!4m7!3m6!1s0xda7cd0d97b94767:0xefaa690d3b09f762!8m2!3d33.6126268!4d-7.5302628!16s%2Fg%2F11fl8nrsxs!19sChIJZ0e5lw3Npw0RYvcJOw1pqu8?authuser=0&hl=fr&rclk=1,مستشفى نفسي,0,francais,2025-07-06T07:26:06.878684,{},[],[]
مركز النور,مركز النور,,Service de santé mentale,Aïn Harrouda,20260 ahl loghlam، 20620,،,+212695-956792,,"5,0",2,Ouvert 24h/24,33.5855786,-7.4828106,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%86%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0xda7cb6e198702a9:0x6687789c977eb335!8m2!3d33.5855786!4d-7.4828106!16s%2Fg%2F11ghtb_pwr!19sChIJqQKHGW7Lpw0RNbN-l5x4h2Y?authuser=0&hl=fr&rclk=1,عيادة نفسية,0,arabe|francais,2025-07-06T07:26:59.320571,{},[],[]
مركز ابن عمر,مركز ابن عمر,,Service de santé mentale,Aïn Harrouda,"Anassi Salam 1, Casablanca",,+212661-432844,,"5,0",5,Fermé ⋅ Ouvre à 08:00,33.590394,-7.4866984,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D8%A8%D9%86+%D8%B9%D9%85%D8%B1%E2%80%AD/data=!4m7!3m6!1s0xda7cbf8ef06bc4d:0x5118e9758e43051f!8m2!3d33.590394!4d-7.4866984!16s%2Fg%2F11tgc95srb!19sChIJTbwG7_jLpw0RHwVDjnXpGFE?authuser=0&hl=fr&rclk=1,مركز الصحة النفسية,0,arabe|francais,2025-07-06T07:27:45.670611,{},[],[]
Cabinet de psychomotricité de la psychomotricienne Nouhaila Lamrabat عيادة الترويض الحسي الحركي,عيادة الترويض الحسي الحركي,,Psychomotricien,Aïn Harrouda,"Canne d'or, Allée des orangers,Lotissement Les iris, magasin numéro 8 ain sebaa Saga, Casablanca",,+212690-109843,,"4,2",31,Fermé ⋅ Ouvre à 09:00 lun.,33.6054651,-7.5473265,https://www.google.com/maps/place/Cabinet+de+psychomotricit%C3%A9+de+la+psychomotricienne+Nouhaila+Lamrabat+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AA%D8%B1%D9%88%D9%8A%D8%B6+%D8%A7%D9%84%D8%AD%D8%B3%D9%8A+%D8%A7%D9%84%D8%AD%D8%B1%D9%83%D9%8A%E2%80%AD/data=!4m7!3m6!1s0xda7cd54f8b8263f:0xb9c243e150cef395!8m2!3d33.6054651!4d-7.5473265!16s%2Fg%2F11td466pbv!19sChIJPya4-FTNpw0RlfPOUOFDwrk?authuser=0&hl=fr&rclk=1,معالج نفسي,0,arabe|francais,2025-07-06T07:29:14.303019,{},[],[]
